Estado,Ano,Mês,Precipitação Total (mm),Pressão atmosférica média (mB),Radiação global média (Kj/m²),Temperatura média do ar (°C),Temperatura máxima (°C),Temperatura mínima (°C),Umidade relativa média (%),Velocidade média do vento (m/s)
PR,2003,1,0.0,,,,,,,
PR,2003,2,0.0,,,,,,,
PR,2003,3,55.99999999999999,914.2086350974931,1165.8917525773195,18.463231197771588,29.2,12.1,79.31197771587743,1.9002785515320335
PR,2003,4,86.2,913.5802797202798,1180.8567493112948,18.793006993006994,28.9,6.2,77.02377622377622,1.871048951048951
PR,2003,5,26.8,914.3358725761773,1096.4985915492957,14.831855955678671,26.6,3.1,74.18282548476455,1.934349030470914
PR,2003,6,47.2,913.1826086956521,647.8235294117648,16.567391304347826,24.1,8.7,80.60144927536231,1.798550724637681
PR,2003,7,0.0,,,,,,,
PR,2003,8,0.0,,,,,,,
PR,2003,9,0.0,,,,,,,
PR,2003,10,0.0,,,,,,,
PR,2003,11,0.0,,,,,,,
PR,2003,12,0.0,,,,,,,
PR,2004,1,0.0,,,,,,,
PR,2004,2,0.0,,,,,,,
PR,2004,3,0.0,,,,,,,
PR,2004,4,0.0,,,,,,,
PR,2004,5,0.0,,,,,,,
PR,2004,6,0.0,,,,,,,
PR,2004,7,0.0,,,,,,,
PR,2004,8,0.0,,,,,,,
PR,2004,9,0.0,,,,,,,
PR,2004,10,0.0,,,,,,,
PR,2004,11,0.0,,,,,,,
PR,2004,12,0.0,,,,,,,
PR,2005,1,0.0,,,,,,,
PR,2005,2,0.0,,,,,,,
PR,2005,3,0.0,,,,,,,
PR,2005,4,0.0,,,,,,,
PR,2005,5,108.8,913.1349152542373,857.1866666666666,16.896949152542373,27.5,6.9,80.63728813559322,1.8333333333333333
PR,2005,6,77.4,915.540520984081,876.8338368580061,16.269609261939216,25.8,8.6,80.42691751085384,1.52
PR,2005,7,112.2,917.0166898470097,1035.470238095238,13.824756606397775,26.2,2.5,76.4575799721836,
PR,2005,8,173.8,914.6475455820477,1180.3661971830986,16.27068723702665,29.8,4.3,70.21458625525946,
PR,2005,9,224.6,914.7667175572518,812.9744318181819,14.047022900763357,28.0,4.3,81.89770992366412,2.0
PR,2005,10,181.6,912.0160530191458,825.749373433584,17.882474226804124,31.4,12.3,82.46244477172313,
PR,2005,11,86.4,910.3460285132384,1464.3788395904437,18.65478615071283,30.9,11.3,73.5010183299389,2.733333333333333
PR,2005,12,0.0,,,,,,,
PR,2006,1,0.0,,,,,,,
PR,2006,2,0.0,,,,,,,
PR,2006,3,100.6,911.6049528301887,1045.478448275862,20.67382075471698,29.8,13.9,80.45518867924528,2.1591981132075473
PR,2006,4,14.600000000000001,911.7982371794872,1264.2532467532467,17.90929487179487,26.8,7.8,74.8573717948718,2.008974358974359
PR,2006,5,2.4000000000000004,914.3146435452794,1047.6208333333334,14.701156069364162,25.6,6.1,72.26589595375722,2.1266806722689076
PR,2006,6,37.6,916.266011235955,843.874269005848,14.889044943820224,25.8,5.6,77.30337078651685,2.2433988764044943
PR,2006,7,87.6,916.2342434584756,1155.1083032490974,15.372013651877133,28.7,2.0,71.17292377701934,1.8015927189988623
PR,2006,8,205.4,915.5916358595194,1223.0112570356473,15.583179297597043,31.4,-0.4,68.6358595194085,1.898475046210721
PR,2006,9,654.4,915.0675951717735,1163.8621575342465,15.193825441039925,32.7,-2.7,75.06499535747447,2.3444753946146704
PR,2006,10,324.6,908.5341712490181,1307.2409638554218,18.592576590730555,31.7,9.9,78.78476040848389,2.2103692065985863
PR,2006,11,720.2,921.5171974522293,1355.4065679925995,21.08814732761008,36.4,4.8,77.72583771808364,2.4249515369703682
PR,2006,12,1431.6,931.8090093199862,1439.411196362603,23.119071453227477,36.1,11.3,77.93976527442182,2.6159302726958926
PR,2007,1,2169.6,930.8792196142921,1272.8753367621846,22.84401255793093,33.4,13.2,83.65929137389745,2.3451786515174167
PR,2007,2,1578.4,932.4082588935903,1508.7399612295762,23.007052186177717,34.3,12.1,78.83043410123805,2.5205610405892496
PR,2007,3,1155.8,936.4383613390647,1563.403241182078,23.532304285528202,35.8,11.8,74.10668229777256,2.0528201120229257
PR,2007,4,1443.8,943.782343387471,1260.9231281937348,21.52131090487239,35.0,6.0,78.19953596287704,2.337122969837587
PR,2007,5,1610.4,946.2039310589068,1121.1352133044106,16.88734505961516,31.4,-4.1,78.31979695431473,2.389776885845827
PR,2007,6,104.8,946.6957896021479,1175.759273875296,17.347778862582377,30.4,0.1,71.2149658203125,2.1171100805467415
PR,2007,7,1668.0,944.7831443600234,1057.9492701603253,15.11437587657784,32.7,-1.4,71.62143525011687,2.3685797779076565
PR,2007,8,155.4,945.9243977623016,1208.0022619316896,17.56876355748373,33.3,1.4,69.04509647220003,2.6929215663888573
PR,2007,9,461.0,945.3025771999072,1370.9413155631987,21.224727188298118,36.4,-0.7,63.20884606454609,2.858834455537497
PR,2007,10,1245.8,942.157624633431,1321.550375345713,21.79875930521092,39.1,7.9,70.7503947665238,2.8924960505529227
PR,2007,11,2107.8,940.6316003043368,1606.2382265591855,21.625107785949787,34.3,7.6,70.10753233578494,2.801293431397413
PR,2007,12,2096.6,939.8995273463876,1577.3929433611886,22.922754895340987,37.1,9.5,74.01001575512042,2.2473778978167904
PR,2008,1,2130.6,940.7195669425236,1321.224717016144,22.179605486906244,34.6,12.4,80.05101462419226,2.7249631561047503
PR,2008,2,1848.6000000000001,942.4882495667244,1533.2528712059066,22.797723859041014,35.7,12.8,78.27198151357597,2.219875202218627
PR,2008,3,1659.0,951.7921207243461,1506.1951470588235,22.603911468812875,34.6,11.7,75.42704225352112,2.365054325955734
PR,2008,4,2974.4,953.458782503222,1208.934300217549,20.571639754377983,35.2,3.3,77.95731614859743,2.0407778030475323
PR,2008,5,1487.0,953.2521365168926,1155.225222717149,17.16900846349687,33.8,-1.8,76.07820035827477,2.1715317919075146
PR,2008,6,2088.8,952.7679572118702,954.0937772608316,15.270924775707385,31.9,-5.7,80.18473008421924,2.1196424874042377
